航班号,日期,机型,始发地四字,目的地四字,始发时间,到达时间,飞行时间
AIC634,2020.04.16,A319,VABP,VABB,08:15,09:30,已取消
AIC634,2020.04.15,A319,VABP,VABB,08:15,09:30,已取消
AIC634,2020.03.19,A319,VABP,VABB,07:57,09:03,1:06
AIC634,2020.03.18,A319,VABP,VABB,08:20,09:20,已取消
AIC634,2020.03.17,A319,VABP,VABB,08:10,09:18,1:08
AIC634,2020.03.16,A319,VABP,VABB,07:58,09:08,1:10
AIC634,2020.03.14,A319,VABP,VABB,08:19,09:34,1:15
AIC634,2020.03.12,A319,VABP,VABB,07:55,09:03,1:07
AIC634,2020.03.11,A319,VABP,VABB,07:55,09:12,1:17
AIC634,2020.03.10,A319,VABP,VABB,07:55,09:09,1:14
ANA813,2020.05.09,Unknown,RJAA,VYYY,07:28,11:20,6:22
ANA813,2020.05.09,B763,RJAA,VYYY,07:25,24:05,已取消
ANA813,2020.05.06,Unknown,RJAA,VYYY,07:31,11:42,6:40
ANA813,2020.05.06,B763,RJAA,VYYY,07:25,24:05,已取消
ANA813,2020.05.04,Unknown,RJAA,VYYY,07:38,11:33,6:25
ANA813,2020.05.04,B763,RJAA,VYYY,07:25,24:05,已取消
ANA813,2020.05.02,B763,RJAA,VYYY,08:30,24:45,6:45
ANA813,2020.04.29,B763,RJAA,VYYY,07:49,24:09,n/a
ANA813,2020.04.27,B763,RJAA,VYYY,07:37,24:09,n/a
ANA813,2020.04.25,B763,RJAA,VYYY,07:30,11:59,6:59
ANA813,2020.04.24,B763,RJAA,VYYY,07:33,24:27,n/a
ANA813,2020.04.22,B763,RJAA,VYYY,24:10,16:50,已取消
ANA813,2020.04.22,B763,RJAA,VYYY,07:35,11:57,6:52
ANA813,2020.04.21,B763,RJAA,VYYY,24:10,16:50,已取消
ANA813,2020.04.21,B763,RJAA,VYYY,07:46,24:11,6:55
ANA813,2020.04.20,B763,RJAA,VYYY,24:10,16:50,已取消
ANA813,2020.04.20,B763,RJAA,VYYY,07:24,11:55,7:01
ANA813,2020.04.18,Unknown,RJAA,VYYY,24:11,16:38,6:57
ANA813,2020.04.18,B763,RJAA,VYYY,24:10,16:50,已取消
ANA813,2020.04.17,B763,RJAA,VYYY,24:43,17:21,n/a
ANA813,2020.04.14,B763,RJAA,VYYY,24:08,16:53,n/a
ANA813,2020.04.13,B763,RJAA,VYYY,24:31,17:05,n/a
ANA813,2020.04.12,B763,RJAA,VYYY,24:21,17:10,n/a
ANA813,2020.04.10,B763,RJAA,VYYY,24:28,17:14,7:16
ANA813,2020.04.09,B763,RJAA,VYYY,24:23,17:21,n/a
ANA813,2020.04.08,B763,RJAA,VYYY,24:27,17:12,n/a
ANA813,2020.04.05,B763,RJAA,VYYY,24:03,16:56,n/a
ANA813,2020.04.04,B763,RJAA,VYYY,24:23,16:57,n/a
